step,mean_ep_reward,suc_pct,acol_pct,pcol_pct,tmo_pct
15990784,-32.5323,10.23,2.69,0.09,8.76
16121856,-32.2395,10.3,2.83,0.09,7.57
16252928,-32.4795,9.0,1.97,0.0,8.9
16384000,-32.3424,8.9,2.97,0.09,10.03
16515072,-32.0323,8.55,2.92,0.4,10.06
16646144,-30.6092,10.26,1.66,0.21,11.71
16777216,-29.8572,11.32,2.45,0.35,12.37
16908288,-30.5298,10.12,1.48,0.25,13.21
17039360,-30.5345,8.67,1.97,0.0,16.07
17170432,-28.3593,12.38,1.82,0.12,16.02
17301504,-30.34,9.59,1.87,0.25,16.19
17432576,-29.576,11.11,1.87,0.13,14.86
17563648,-28.1201,10.93,1.8,0.6,20.96
17694720,-28.2096,11.81,2.99,0.16,18.58
17825792,-27.8202,11.78,1.75,0.16,20.38
17956864,-27.8913,10.3,1.51,0.0,20.6
18087936,-28.1585,10.0,2.71,0.14,19.86
18219008,-26.5733,11.48,1.48,0.0,22.3
18350080,-27.5815,10.33,1.05,0.0,22.24
18481152,-26.3564,10.96,1.5,0.33,23.42
18612224,-26.3204,10.13,1.8,0.33,28.27
18743296,-24.7614,11.33,0.88,0.0,27.96
18874368,-24.0138,13.31,2.74,0.0,29.55
19005440,-23.0166,14.08,2.1,0.63,30.67
19136512,-23.3784,11.16,2.01,0.45,37.72
19267584,-22.897,11.79,1.89,0.0,36.21
19398656,-22.0248,9.02,1.5,0.0,46.87
19529728,-19.9907,13.88,0.51,0.26,41.39
19660800,-18.4825,15.92,1.49,0.25,46.52
19791872,-19.5323,15.01,2.55,0.28,46.74
19922944,-18.575,11.42,1.95,0.0,56.55
20054016,-15.257,17.54,1.75,0.0,52.63
20185088,-17.4467,15.08,1.85,0.62,52.62
20316160,-17.3931,12.83,1.17,0.29,55.39
20447232,-16.5649,14.92,1.1,0.0,54.14
20578304,-14.6958,17.91,2.09,0.0,53.73
20709376,-16.1892,14.96,1.94,0.55,53.19
20840448,-16.1065,13.74,0.58,0.29,57.31
20971520,-12.6275,21.61,3.23,0.0,53.87
21102592,-14.213,16.22,1.47,0.0,59.88
21233664,-14.011,15.23,1.32,0.33,61.59
21364736,-13.8174,17.54,1.75,0.29,55.85
21495808,-13.8743,18.02,2.91,0.0,57.56
21626880,-15.0128,16.04,3.07,1.02,59.39
21757952,-13.69,16.41,1.52,0.0,61.7
21889024,-12.7854,19.19,1.35,0.0,54.21
22020096,-15.3465,16.22,1.35,0.27,53.78
22151168,-13.1942,17.68,0.83,0.55,57.46
22282240,-13.4576,19.93,2.66,0.0,55.15
22413312,-14.5385,14.7,1.79,0.36,63.8
22544384,-12.5039,16.55,0.36,0.36,67.63
22675456,-11.7487,16.82,0.62,0.0,68.22
22806528,-7.8349,22.52,0.0,0.3,66.97
