to_goal_cost_gain,speed_cost_gain,obstacle_cost_gain,predict_time,dt,success_rate,avg_steps
0.5,1.0,8.0,1.8,0.2,0.0,1000.0
1.5,1.0,8.0,1.8,0.2,0.0,1000.0
0.5,1.0,1.5,1.0,0.1,0.0,1000.0
1.5,10.0,8.0,1.8,0.2,0.0,1000.0
3.0,1.0,4.0,1.8,0.2,0.0,1000.0
3.0,1.0,1.5,1.0,0.1,0.0,1000.0
3.0,1.0,1.5,1.8,0.1,0.0,1000.0
3.0,1.0,4.0,1.0,0.1,0.0,1000.0
1.5,10.0,8.0,1.0,0.1,0.0,1000.0
0.5,10.0,4.0,1.8,0.1,0.0,1000.0
0.5,10.0,4.0,1.0,0.2,0.0,1000.0
3.0,10.0,4.0,1.8,0.2,0.0,1000.0
